well,zone,gross_thickness,net_thickness,avg_phit_net,avg_perm_net,kh_net
1,A,74.59999999999991,48.20000000000141,0.16991244813278006,502.9868991701245,24243.968540000784
1,B,141.80000000000018,131.00000000000136,0.29065068702290076,15000.0,1965000.000000021
1,C,136.19999999999982,110.60000000000082,0.20147830018083182,709.503968716094,78471.13894000751
1,D,37.59999999999991,4.599999999999454,0.09171304347826084,0.7988695652173914,3.6747999999999115
1,E,139.80000000000018,97.39999999999827,0.20740143737166325,2036.1722622176592,198323.17833998648
2,A,119.0,78.80000000000427,0.17118426395939085,577.1140436548224,45476.586640002635
2,B,96.40000000000009,90.40000000000146,0.2878690265486726,14998.632581858408,1355876.385400022
2,C,209.4000000000001,176.5999999999999,0.20398958097395242,816.6509125707814,144220.55115998694
2,D,109.59999999999991,10.00000000000091,0.09409999999999999,0.8367399999999999,8.367399999999414
2,E,145.5999999999999,106.20000000000209,0.20521035781544256,2054.5886873822974,218197.3186000098
3,A,60.40000000000009,37.19999999999936,0.1727989247311828,621.2826978494624,23111.716360000646
3,B,84.59999999999991,76.99999999999955,0.2880579220779221,15000.0,1154999.9999999935
3,C,133.0,106.40000000000055,0.20252349624060148,748.8865736842106,79681.53143999819
3,D,11.800000000000182,1.1999999999993634,0.08979999999999999,0.9323,1.118759999999315
3,E,100.19999999999982,69.599999999999,0.20685890804597698,2124.1101422413794,147838.06589997455
4,A,149.5999999999999,92.39999999999782,0.17231450216450214,589.0216735930736,54425.602639997625
4,B,96.80000000000018,90.59999999999809,0.28559492273730686,14996.418450551877,1358675.5116199716
4,C,199.19999999999982,166.00000000000182,0.20301795180722895,669.8726465060241,111198.85931999197
4,D,89.0,9.600000000000364,0.09370833333333334,0.68334375,6.560099999999695
4,E,115.40000000000009,79.59999999999809,0.20172512562814068,1842.061639447236,146628.10649998597
5,A,112.0,66.5,0.17073834586466166,624.5676571428571,41533.7492
5,B,80.5,75.5,0.29168145695364234,15000.0,1132500.0
5,C,157.5,135.0,0.20273962962962966,734.0459296296297,99096.2005
5,D,76.5,4.5,0.08975555555555555,0.5656333333333333,2.54535
5,E,103.5,73.0,0.20574246575342464,2213.0151616438357,161550.1068
6,A,125.59999999999991,77.80000000000018,0.17298688946015423,585.2238758354756,45530.41754000035
6,B,95.0,89.39999999999941,0.2870704697986577,14987.569964205817,1339888.7547999918
6,C,155.80000000000018,130.99999999999886,0.2026528244274809,748.3894824427481,98039.02219998819
6,D,98.19999999999982,10.599999999999909,0.0949245283018868,0.8536943396226414,9.049160000000862
6,E,145.4000000000001,98.99999999999909,0.20490282828282827,2113.733451717172,209259.6117200055
7,A,96.80000000000018,63.60000000000173,0.16998333333333332,513.3598226415094,32649.68472000119
7,B,170.19999999999982,158.0,0.28795658227848103,14998.442754936708,2369753.95528
7,C,103.19999999999982,89.40000000000009,0.20329955257270693,773.2630662192394,69129.71811999644
7,D,90.60000000000036,12.399999999999181,0.09256774193548387,0.8405725806451612,10.423100000000108
7,E,89.19999999999982,62.00000000000364,0.20450709677419354,1934.4638693548386,119936.75990001131
